,City Name,Latitude,Longitude,Temprature,Humidity,Cloudiness,Max Temp,Wind Speed
397,Lima,-12.04,-77.03,71.6,83,40,71.6,14.99
398,Paraiso,9.84,-83.87,71.83,73,20,75.2,19.46
399,Sturgis,41.8,-85.42,25.7,73,90,26.6,11.41
400,Nemuro,43.32,145.57,21.2,67,20,21.2,2.24
401,Banamba,13.55,-7.45,65.82,18,13,65.82,10.07
402,San Borja,-14.82,-66.85,77.29,85,97,77.29,2.13
403,Sao Filipe,14.9,-24.5,70.3,72,16,70.3,14.03
404,San Pedro de Ycuamandiyu,-24.09,-57.08,83.05,63,70,83.05,2.44
405,Waipawa,-41.41,175.52,65.14,77,100,71.01,14.99
406,Tuatapere,-46.13,167.68,74.64,32,84,74.64,3.31
407,Mayo,38.89,-76.51,28.63,53,1,33.01,8.52
408,Provincie Utrecht,52.0,5.25,40.77,86,40,43.0,9.17
409,Barabai,-2.58,115.38,77.45,92,73,77.45,1.92
410,Carutapera,-1.2,-46.02,82.0,81,92,82.0,15.66
411,Dawson Creek,55.77,-120.24,-16.6,68,1,-16.6,2.24
412,Sorkjosen,69.8,20.93,23.4,73,63,23.4,17.38
413,Sistranda,63.73,8.83,41.0,80,100,41.0,12.75
414,Naze,28.37,129.48,59.85,58,75,60.8,10.29
